stock_date,,,is_high_gt_0_25,is_high_gt_0_5,is_high_gt_0_75,is_high_gt_1,is_high_gt_1_1,is_high_gt_1_2,is_high_gt_1_3,is_high_gt_1_4,is_high_gt_1_5,is_high_gt_1_6,is_high_gt_2
6/11/24,04:00:00+00:00,24,1,1,1,1,1,1,1,1,1,1,1
6/12/24,04:00:00+00:00,24,1,1,1,1,1,1,1,1,1,1,1
6/13/24,04:00:00+00:00,24,1,1,1,,,,,,,,
6/14/24,04:00:00+00:00,24,1,1,1,1,1,1,1,1,1,1,
6/17/24,04:00:00+00:00,25,1,1,1,1,1,1,1,1,1,1,1
6/18/24,04:00:00+00:00,25,1,1,1,1,1,,,,,,
6/20/24,04:00:00+00:00,25,1,1,1,1,1,,,,,,
6/21/24,04:00:00+00:00,25,1,1,1,1,1,1,1,1,1,1,
6/24/24,04:00:00+00:00,26,1,1,1,1,1,1,1,1,1,1,1
6/25/24,04:00:00+00:00,26,1,1,1,1,1,,,,,,
6/26/24,04:00:00+00:00,26,1,1,1,1,1,1,1,1,1,1,1
6/27/24,04:00:00+00:00,26,1,1,1,1,1,1,1,1,1,,
6/28/24,04:00:00+00:00,26,1,1,1,1,1,1,1,1,1,1,1
7/1/24,04:00:00+00:00,27,1,1,1,1,,,,,,,
7/2/24,04:00:00+00:00,27,1,1,1,1,1,1,1,1,1,1,1
7/3/24,04:00:00+00:00,27,1,1,1,1,1,1,1,1,1,1,1
7/5/24,04:00:00+00:00,27,1,1,1,1,1,1,1,1,1,1,1
7/8/24,04:00:00+00:00,28,1,1,1,,,,,,,,
7/9/24,04:00:00+00:00,28,1,1,1,,,,,,,,
7/10/24,04:00:00+00:00,28,1,1,1,1,1,1,1,1,1,1,1
7/11/24,04:00:00+00:00,28,1,1,1,1,1,1,,,,,
7/12/24,04:00:00+00:00,28,1,1,1,1,1,1,1,1,1,1,1
7/15/24,04:00:00+00:00,29,1,1,1,1,1,1,1,1,1,1,1
7/16/24,04:00:00+00:00,29,1,1,1,1,1,1,1,1,1,1,1
7/17/24,04:00:00+00:00,29,1,1,1,1,1,1,1,1,1,1,1
7/18/24,04:00:00+00:00,29,1,1,1,1,1,1,1,1,,,
7/19/24,04:00:00+00:00,29,1,1,1,1,1,1,1,1,1,1,1
7/22/24,04:00:00+00:00,30,1,1,1,1,1,1,1,1,1,1,1
7/23/24,04:00:00+00:00,30,1,1,1,1,1,1,1,1,1,1,1
7/24/24,04:00:00+00:00,30,1,1,1,1,1,1,1,1,1,,
7/25/24,04:00:00+00:00,30,1,1,1,1,1,1,1,1,1,1,1
7/26/24,04:00:00+00:00,30,1,1,1,1,1,1,1,1,1,1,1
7/29/24,04:00:00+00:00,31,1,1,1,1,1,1,1,1,,,
7/30/24,04:00:00+00:00,31,1,1,1,1,1,1,1,1,1,1,
7/31/24,04:00:00+00:00,31,1,1,1,1,1,1,1,1,1,1,1
8/1/24,04:00:00+00:00,31,1,1,1,1,1,1,1,1,1,1,1
8/2/24,04:00:00+00:00,31,1,1,1,1,1,1,1,1,1,1,1
8/5/24,04:00:00+00:00,32,1,1,1,1,1,1,1,1,1,1,1
8/6/24,04:00:00+00:00,32,1,1,1,1,1,1,1,1,1,1,1
8/7/24,04:00:00+00:00,32,1,1,1,1,1,1,1,1,1,1,1
8/8/24,04:00:00+00:00,32,1,1,1,1,1,1,1,1,1,1,1
8/9/24,04:00:00+00:00,32,1,1,1,1,1,1,1,1,1,1,1
8/12/24,04:00:00+00:00,33,1,1,1,1,1,1,1,1,1,1,
8/13/24,04:00:00+00:00,33,1,1,1,1,1,1,1,1,1,1,1
8/14/24,04:00:00+00:00,33,1,1,1,1,1,1,1,1,1,1,1
8/15/24,04:00:00+00:00,33,1,1,1,1,1,1,1,1,1,1,1
8/16/24,04:00:00+00:00,33,1,1,1,1,1,1,1,1,1,1,1
8/19/24,04:00:00+00:00,34,1,1,1,1,1,1,1,1,1,1,1
8/20/24,04:00:00+00:00,34,1,1,1,1,1,1,1,1,1,1,
8/21/24,04:00:00+00:00,34,1,1,1,1,1,1,1,1,1,1,1
8/22/24,04:00:00+00:00,34,1,1,1,1,1,1,1,1,,,
8/23/24,04:00:00+00:00,34,1,1,1,1,1,1,1,1,1,1,1
8/26/24,04:00:00+00:00,35,1,1,1,1,1,,,,,,
8/27/24,04:00:00+00:00,35,1,1,1,1,1,1,1,1,1,1,1
8/28/24,04:00:00+00:00,35,1,1,1,1,1,1,1,1,1,1,1
8/29/24,04:00:00+00:00,35,1,1,1,1,1,1,1,1,1,1,1
8/30/24,04:00:00+00:00,35,1,1,1,1,1,1,1,1,1,1,1
9/3/24,04:00:00+00:00,36,1,1,1,1,1,1,1,,,,
9/4/24,04:00:00+00:00,36,1,1,1,1,1,1,1,1,1,1,1
9/5/24,04:00:00+00:00,36,1,1,1,1,1,1,1,1,1,1,1
9/6/24,04:00:00+00:00,36,1,1,1,1,1,1,1,1,1,1,1
9/9/24,04:00:00+00:00,37,1,1,1,1,1,1,1,1,1,1,1
9/10/24,04:00:00+00:00,37,1,1,1,1,1,1,1,,,,
9/11/24,04:00:00+00:00,37,1,1,1,1,1,1,1,1,1,1,1
9/12/24,04:00:00+00:00,37,1,1,1,1,1,1,1,1,1,1,1
9/13/24,04:00:00+00:00,37,1,1,1,1,1,1,1,1,1,1,1
9/16/24,04:00:00+00:00,38,1,1,1,1,1,1,1,1,1,1,
9/17/24,04:00:00+00:00,38,1,1,1,1,1,1,1,1,,,
9/18/24,04:00:00+00:00,38,1,1,1,1,1,1,1,1,1,1,1
9/19/24,04:00:00+00:00,38,1,1,1,1,1,1,,,,,
