stock_date,is_high_gt_0_25,is_high_gt_0_5,is_high_gt_0_75,is_high_gt_0_8,is_high_gt_0_9,is_high_gt_1,is_high_gt_1_1,is_high_gt_1_2,is_high_gt_1_3,is_high_gt_1_4,is_high_gt_1_5,is_high_gt_1_6,is_high_gt_2
2024-04-30 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
2024-05-01 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-05-02 04:00:00+00:00,1.0,1.0,1.0,1.0,,,,,,,,,
2024-05-03 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
2024-05-06 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-05-07 04:00:00+00:00,1.0,,,,,,,,,,,,
2024-05-08 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
2024-05-09 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-05-10 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-05-13 04:00:00+00:00,1.0,,,,,,,,,,,,
2024-05-14 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2024-05-15 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-05-16 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
2024-05-17 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-05-20 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2024-05-21 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2024-05-22 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
2024-05-23 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-05-24 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-05-28 04:00:00+00:00,1.0,,,,,,,,,,,,
2024-05-29 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
2024-05-30 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
